CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;25 BATALHAO DE CACADORES;14/02/2017;R ROCHA PORTELA & CIA LTDA - EPP [REAL PALACE HOTEL];148
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;19 BATALHAO DE CACADORES;14/06/2017;QUALITYSUL RESTAURANTE E HOTEL LTDA - ME [QUALITYSUL RESTAURANTE E HOTEL];147.63
32000;MINISTERIO DE MINAS E ENERGIA;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL;SUPERINTEND�NCIA DO DNPM-BA;16/05/2017;POSTO E POUSADA CARRANQUINHA LTDA - ME [POSTO E POUSADA CARRANQUINHA];146.79
26000;MINISTERIO DA EDUCACAO;EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH;EBSERH HUOL-UFRN;13/12/2017;MV COMERCIO DE PRODUTOS PARA HOTEIS E RESTAURANTES LTDA [MULTIBAR];146.65
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;08/12/2017;HOTEL CANTELLI;146
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;11/10/2017;HOTEL CANTELLI;141
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;29/03/2017;GOMES VALADARES & DAL SANTOS DE SOUZA LTDA - ME [HOTEL E RESTAURANTE AMAZONAS];140
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COMANDO DA 17 BRIGADA DE INFANTARIA DE SELVA;20/09/2017;NUNZIO GRASSO JUNIOR - EPP [HOTEL MIRAGE];140
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COMANDO DA 17 BRIGADA DE INFANTARIA DE SELVA;20/09/2017;HOTEL OESTE LTDA - ME [HOTEL OESTE];140
32000;MINISTERIO DE MINAS E ENERGIA;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL;SUPERINTEND�NCIA DO DNPM-AL;22/05/2017;POSTO E HOTEL DI'VAN LTDA [POSTO DI VAN];138.98
