CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DE GOIAS;UNIVERSIDADE FEDERAL DE GOIAS;09/10/2017;LEVE ALIMENTOS LTDA [SUPERMERCADO LEVE];335
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;CENTRO DE CIENCIAS DA SAUDE DA UFRN;22/09/2017;MARLIM PEIXARIA E CONVENIENCIA LTDA - ME [MARLIM PEIXARIA E CONVENIENCIA];334.9
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO;06/10/2017;SUPERMERCADO REGENTE LTDA [SUPERMERCADO REGENTE];333.85
26000;MINISTERIO DA EDUCACAO;FUNDACAO UNIVERSIDADE FEDERAL DE VICOSA;UNIVERSIDADE FEDERAL DE VICOSA;19/04/2017;IRMAOS TEIXEIRA DE CARVALHO LTDA [AMANTINO SUPERMERCADO];333.47
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;4 BATALHAO LOGISTICO;31/08/2017;VELCI C. MORESCO - EPP [CHURRASCARIA IRMAOS MORESCO];333
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;3 REGIMENTO DE CAVALARIA DE GUARDA;11/10/2017;PAULO DOS SANTOS ARRUDA - EPP [CHURRASCARIA MORRETES];333
26000;MINISTERIO DA EDUCACAO;INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO;INST.FED.DO MARANHAO/CAMPUS ZE DOCA;15/08/2017;MATEUS SUPERMERCADOS S.A. [MIX MATEUS];331.8
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DE LAVRAS;UNIVERSIDADE FEDERAL DE LAVRAS;30/01/2017;SUPERMERCADOS REX LTDA;331.56
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;5 BATALHAO LOGISTICO;27/10/2017;ESTANCIA GRILL LTDA - ME;331.1
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;CENTRO DE CIENCIAS DA SAUDE DA UFRN;02/06/2017;SUPERMERCADO NORDESTAO LTDA;330.16
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;55 BATALHAO DE INFANTARIA;21/11/2017;SUPERMERCADO BICALHO;330.15
30000;MINISTERIO DA JUSTICA E SEGURAN�A PUBLICA;FUNDO PENITENCIARIO NACIONAL - FUNPEN;PENITENCIARIA FEDERAL EM PORTO VELHO - RO;15/03/2017;PANIFICADORA NOVA ROMA;330
25000;MINISTERIO DA FAZENDA;RECEITA FEDERAL DO BRASIL;DELEGACIA DA RFB EM CURITIBA;21/09/2017;MROZ DISTRIBUIDORA DE GAS E BEBIDAS LTDA - ME;330
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;15 BATALHAO LOGISTICO;10/11/2017;CHURRASCARIA GAUCHA;330
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO RIO GRANDE DO SUL;23/06/2017;SUPERMERCADO SCOTTA LTDA;329.36
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NA BAHIA;15/09/2017;MERCADINHO OLIVEIRA MIRANDA LTDA - EPP [SUPERMERCADO MIRANDA];328.92
