CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO PARANA;20/11/2017;BJCG COMERCIO DE COMBUSTIVEIS LTDA [POSTO BJ];94.24
20000;PRESIDENCIA DA REPUBLICA;INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA;SUPERINTEND.ESTADUAL DE GOIAS-INCRA/SR-04;12/11/2017;IRMAOS FERREIRA COMBUSTIVEIS LTDA [POSTO CANOEIRO];94.23
20000;PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTEND.ESTADUAL DO PARA-INCRA/SR-01;24/08/2017;ANTONIO BARRETO FIGUEIREDO [POSTO AURORA];94.2
53000;MINISTERIO DA INTEGRACAO NACIONAL;SUPERINTEND.DO DESENVOLV.DA AMAZONIA-SUDAM;SUPERINTEND. DO DESENVOLVIMENTO DA AMAZONIA;23/06/2017;I B K COMERCIO E SERVICOS LTDA [POSTO IBK III];94.18
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO PARANA;07/12/2017;IRMAOS PEGORARO & CIA LTDA [POSTO SACY];94.18
40000;MINISTERIO DO TRABALHO;MINISTERIO DO TRABALHO;SECRETARIA DE INSPE��O DO TRABALHO;21/06/2017;N. S. ITAMARATY AUTO POSTO EIRELI [POSTO ITAMARATY];94.16
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DE ITAJUBA - MG;UNIVERSIDADE FEDERAL DE ITAJUBA;31/05/2017;POSTO ITAVEL 2 LTDA;94.11
20000;PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTEND.ESTADUAL DO PARANA-INCRA/SR-09;07/12/2017;POSTO DE GASOLINA BEIRA RIO LTDA;94.09
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;21/09/2017;AUTO POSTO LEAO DA ALDEIA LTDA - ME;94.08
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;08/11/2017;AUTO POSTO ARAPUA LTDA [AUTO POSTO ARAPUA];94.08
20000;PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTEND.ESTADUAL DO PARA-INCRA/SR-01;31/07/2017;REBELO & ALVES LTDA [POSTO BOM JESUS];94.06
32000;MINISTERIO DE MINAS E ENERGIA;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL;SUPERINTEND�NCIA DO DNPM-RN;15/09/2017;CIRNE PNEUS COMERCIO E SERVICOS LTDA [POSTO CIRNE];94.06
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO PARANA;30/11/2017;AUTO POSTO DO CARMO;94.05
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;20/11/2017;SONEGO & SONEGO LTDA [AUTO POSTO PALESTINA];94.03
